;name;description;referrals;properties;history
497;Luthen Rael;A mysterious man with an eye for valuable finds, Luthen Rael will go to great lengths and traverse the galaxy to locate the pieces he needs to achieve his goals. A chameleon in dress and identity, Luthen capably hides behind countless faces and identities as the need arises. At his disposal he keeps all manner of exotic tools, including his cleverly modified Fondor haulcraft starship.;;{'Appearances': ['Andor']};
498;Lux Bonteri;The son of Separatist Senator Mina Bonteri, Lux was young, idealistic, and skeptical of the aims of the Republic and the Jedi Knights. His father was a fervent supporter of the Separatists, and was killed by clone troopers on Aargonar. Lux did not know what to make of Ahsoka Tano and her visit to Separatist space. After a failed peace overture begun by Mina extended to the Republic, Lux’s mother died, assassinated on Count Dooku’s orders. After making an ill-fated effort to avenge her by killing Dooku, Lux joined the anti-Separatist resistance on his homeworld of Onderon. After the rebels defeated the Separatists, Lux became Onderon’s Republic Senator.;['Separatist', 'Mina Bonteri', 'Padmé Amidala', 'Ahsoka Tano', 'Count Dooku', 'Republic', 'Death Watch', 'Onderon', 'Saw', 'Steela Gerrera'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems', 'Death Watch', 'Onderon Rebels'], 'Locations': ['Onderon'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.78m '], 'Weapons': ['Blaster Pistol']};
499;Lyana;Like Omega, Lyana Hazard is a young girl curious about the galaxy and enthralled by Phee Genoa, who is also her aunt. The daughter of the Mayor of Pabu, Lyana welcomes Omega and her own family of refugees to the humble island and shows her and the rest of the Bad Batch a simple way of life away from the frontlines of conflict.;;{'Appearances': ['Star Wars: The Bad Batch']};
500;Lyn Me;A lithe Twi'lek dancer and singer, Lyn Me performed with the Max Rebo Band during the group's residence as Jabba the Hutt's house band. From the stage, Lyn Me got an up-close look at the depraved galactic underworld.;;"{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['The Max Rebo Band'], 'Locations': [""Jabba the Hutt's Palace""], 'Gender': ['Female'], 'Dimensions': ['Height: 1.6m '], 'species': [""Twi'lek""]}";
501;Lyra Erso;A geologist with an extensive knowledge of crystals, Lyra Erso helped her husband Galen with his work before he became involved with Orson Krennic’s energy-enrichment project. Deeply suspicious of both Krennic and the Empire, Lyra believed in the Force and tried to share her faith with her daughter Jyn. When Krennic tracks the Ersos to Lah’mu, she risks everything to protect her family.;;"{'Appearances': ['Rogue One: A Star Wars Story'], 'Locations': [""Lah'mu""], 'Gender': ['Female'], 'Dimensions': ['Height: 1.7m '], 'species': ['Human']}";
502;M5-BZ;Serving alongside the aged Jedi Master Tera Sinube with distinction that drew the attention of the Jedi Council, M5-BZ was called upon to serve the Republic as part of D-Squad, an all-droid special missions unit led by the gruff Colonel Meebur Gascon. To carry out the vital assignment of capturing a Separatist encryption module, Beezee had its cranial memory module gutted to allow room for a mobile command center that would house Gascon.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'D-Squad'], 'Dimensions': ['Height: 1.15m '], 'droid': ['Astromech Droid']};
503;Maarva Andor;In her younger days, Maarva Andor and her husband, Clem, made salvage runs to scattered worlds, scavenging unclaimed technology to bring back to their home on Ferrix. Part of the hardworking cycle of mechanical salvage, refurbishment, and resale that keeps the planet's economy afloat, Maarva has long since retired from hard labor, but remains a beloved figure in the community. A member of the Daughters of Ferrix, Maarva is revered for the sharpness of her mind and firmness of her spirit. Despite the years and her failing health, she has a strong independent streak in her, something she shares with her adopted son, Cassian.;;{'Appearances': ['Andor']};
504;Mace Windu;A grim Jedi Master with an amethyst-bladed lightsaber, Mace Windu was the champion of the Jedi Order, with little tolerance for the failings of the Senate, the arguments of politicians, or the opinions of rebellious Jedi. As the Clone Wars intensified, Mace sensed the dark side of the Force at work, and knew the Jedi's enemies were plotting to destroy the Order and end its stewardship of the galaxy.;['Republic', 'Order', 'Qui-Gon Jinn', 'Sith', 'Darth Maul', 'Obi-Wan Kenobi', 'Yoda', 'Anakin Skywalker', 'Separatist', 'Palpatine', 'Count Dooku', 'Padmé Amidala', 'Kaminoans', 'Geonosians', 'Jango Fett', 'Ryloth', 'Wat Tambor', 'Twi’lek', 'Cham Syndulla', 'Orn Free Taa', 'Coruscant', 'Ahsoka Tano', 'Malastare', 'Dugs', 'Zillo Beast', 'Darth Sidious', 'General Grievous', 'Force lightning'];"{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars', 'Tales of the Jedi'], 'Affiliations': ['Jedi Order'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.92m '], 'Weapons': ['Lightsaber', ""Mace Windu's Lightsaber""], 'Vehicles': ['Jedi Starfighter']}";
505;Magaloof;A Leffingite from Almak, Magaloof was a speeder thief who crossed paths with Obi-Wan Kenobi while the Jedi clung to an assassin droid zipping across the busy skylanes of Coruscant. Magaloof had seen a lot of things since coming to Coruscant, but a Jedi clutching a droid kilometers above the ground was a new one even for him.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.4m ']};
506;Magistrate Morgan Elsbeth;The coldhearted Magistrate of Calodan, Morgan Elsbeth clings to power with an iron fist and holds many secrets.;;{'Appearances': ['The Mandalorian'], 'Locations': ['Corvus'], 'species': ['Human'], 'Weapons': ['Beskar spear']};
507;Major Brance;A communications officer at the Resistance base on D’Qar, Taslin Brance brought word of the First Order’s raid on Jakku to Leia Organa. Brance feared BB-8 had been lost in the attack, but Leia told him never to underestimate a droid. Major Brance later had the grim duty of informing Leia of the destruction of Hosnian Prime.;;"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The Resistance'], 'Locations': [""D'Qar""], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m '], 'species': ['Human']}";
508;Major Bren Derlin;A mustachioed rebel officer, Bren Derlin hailed from Tiisheraan. He served with Alliance Intelligence and was named security chief at Hoth’s Echo Base. Derlin reluctantly gave the order to close the base’s shield doors while Han Solo was out searching for Luke Skywalker. He survived the Battle of Hoth and led a rebel ground unit during the Battle of Endor.;;{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Affiliations': ['Rebel Alliance'], 'Locations': ['Hoth', 'Echo Base'], 'Gender': ['Male'], 'Weapons': ['Blaster Pistol']};
509;Major Capin Harinar;Capin Harinar is part of General Draven’s Alliance Intelligence staff. But where officers such as Colonel Delto argue over the importance of information, Harinar concerns himself with physical objects. As a materials analyst, he scrutinizes captured Imperial technology to assess the Empire’s capabilities and figure out how to counter them.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance'], 'Locations': ['Yavin 4'], 'Gender': ['Male'], 'species': ['Human']};
510;Major Partagaz;A high-ranking official within the Imperial Security Bureau, Major Partagaz concerns himself with identifying unrest long before it escalates into becoming a threat to the safety of the Empire's magnificent order.;;{'Appearances': ['Andor'], 'Affiliations': ['Galactic Empire']};
511;Major Rigosso;A military officer loyal to Otua Blank of Quarzite, Major Rigosso was tasked with overseeing the safe delivery of a precious cargo to his lordship during the Clone Wars. Due to the inhospitable atmospheric pressure on the surface of Quarzite, the Belugan and Kage people lived in subterranean passages beneath the planet's crust. Transit and transportation for Blank's people was provided by a series of subtram lines, which were frequently raided by Kage Warriors. To best protect Blank's delivery, Rigosso hired a team of elite bounty hunters to accompany him and the cargo.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Quarzite'], 'Gender': ['Male'], 'species': ['Belugan'], 'Weapons': ['Blaster Pistol']};
512;Major Vonreg;An elite First Order operative clad in distinct crimson armor and with a TIE fighter to match, Major Baron Elrik Vonreg reports directly to Captain Phasma. Part of a secret operation, he makes a personal visit to the Colossus with a shipment of fuel, all in an attempt to coerce Captain Doza into approving First Order protection on the platform.;;{'Appearances': ['Star Wars Resistance'], 'Affiliations': ['The First Order'], 'Gender': ['Male'], 'species': ['Human']};
513;Mak Plain;This Muun banker called Coruscant home and came into conflict with Senators Padme Amidala and Bail Organa over interest rates for loans made to the Galactic Republic by the InterGalactic Banking Clan.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['InterGalactic Banking Clan'], 'Locations': ['Coruscant', 'Muunilinst'], 'species': ['Muun']};
514;Malakili;A burly human, Malakili tended to Jabba the Hutt’s menagerie, including the galactic gangster’s prized pet rancor. Despite the rancor’s vicious nature, Malakili cared about the beast. He was shocked when Luke Skywalker killed his monstrous charge, and wept at its demise.;;"{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Locations': [""Jabba the Hutt's Palace"", 'Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'species': ['Human'], 'Weapons': ['Gaderffii Stick']}";
515;Mantu;A squat, hunched being with cold, clammy skin and a murderous twinkle in his eye, Mantu was far from a typical Selkath. Historically, his people had been regarded as a peaceful, helpful culture devoted to the tending of the ill, or the care of their oceans. How far had the Selkath fallen that Mantu was one of their most well known modern legends, a deadly bounty hunter who relied on surprise to target his prey.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Manaan'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.54m '], 'Weapons': ['Blaster Pistol']};
516;Mar Tuuk;The Neimodian Mar Tuuk was a brilliant military strategist who hailed from planet Neimoidia. Tuuk was Captain of a droid control ship in the Separatist Fleet and oversaw the blockade of Ryloth during the Clone Wars. He matched wits against Jedi General Anakin Skywalker and was outmatched enough that he was forced to abandon his ship.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Locations': ['Cato Neimoidia', 'Ryloth'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.09m '], 'species': ['Neimoidian'], 'Vehicles': ['Droid Control Ship']};
517;Marcus Speedstar;A legendary racer in his own right, and three-time winner of the Five Sabers, Marcus Speedstar is also the estranged younger brother of Jarek Yeager. When he returns to race brother-versus-brother in the Platform Classic, he hopes to mend their fractured family, scarred by Speedstar's blind quest for glory at any cost. But in the years they've been apart, Marcus has run afoul of the Guavian Death gang, and a 20,0000-credit debt jeopardizes his mission and his friend's life.;;{'Appearances': ['Star Wars Resistance'], 'Gender': ['Male'], 'species': ['Human']};
518;Marg Krim;The leader of the Pyke Syndicate, Marg Krim is still weak-minded enough to be manipulated by a Jedi.;;{'Appearances': ['Star Wars: The Clone Wars'], 'species': ['Pyke']};
519;Marrok;A loyal and well-trained anooba, Marrok was the Kyuzo bounty hunter Embo’s faithful companion, assisting his master in a number of adventures. During a skirmish on Nal Hutta, the fearless Marrok saved the hunter Sugi from the clutches of Darth Maul. Embo waded into combat confident that Marrok would be at his side -- and would even retrieve the trusty hat the Kyuzo used as both weapon and shield.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Nal Hutta', 'Tatooine']};
520;Mart Mattin;Leader of Iron Squadron and captain of Sato’s Hammer, Mart Mattin was a creative, if somewhat reckless, young rebel. When the Empire invaded his homeworld, Mykapo, he initially refused to leave, even though his ship had a broken hyperdrive. Eventually, Mart and Iron Squadron joined forces with the Ghost crew, handing the Empire a defeat and escaping to fight another day. He was reunited with his uncle, the famed Commander Sato, and his friends.;['rebel pilots', 'Imperial', 'Lothal', 'Kanan'];"{'Appearances': ['Star Wars Rebels'], 'Locations': ['Mykapo'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': [""Sato's Hammer""]}";
521;Mas Amedda;Mas Amedda was the Vice Chair of the Galactic Senate during Chancellor Valorum's term, a position he continued to hold as Chancellor Palpatine transformed the Republic into the Galactic Empire. Amedda's booming voice often called for order when the partisan nature of the Republic's government degenerated into pointless bickering. In an alien gesture of authority, he would often punctuate such calls with a flicker of his long, forked tongue.;['Republic', 'Valorum', 'Naboo', 'Palpatine', 'Sith', 'Senate', 'Separatists', 'Galactic Empire', 'Grand Moff Tarkin'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Bad Batch', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.96m '], 'species': ['Chagrian']};
522;Master Codebreaker;He’s a soldier, freedom fighter, ace pilot, top smuggler and a poet with a blaster – and a slicer capable of defeating the toughest security in the galaxy. So Maz Kanata describes the man known only as the Master Codebreaker. His favorite haunt is Canto Bight, where he’s recognizable by the red plom bloom adorning one immaculate lapel of his tuxedo.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Locations': ['Canto Bight', 'Canto Casino'], 'Gender': ['Male'], 'species': ['Human']};
523;Mawhonic;A Gran podracer, Mawhonic competed in the Boonta Eve Classic. Knowledgable podracing fans regarded him as one of the more capable challengers to Sebulba, the favorite in the hard-fought race. Sebulba wasted no time eliminating his Gran rival from the competition and smashed into Mawhonic's podracer on the first lap, knocking him out of the race.;;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.22m '], 'species': ['Gran'], 'Vehicles': ['Podracer']};
524;Max Rebo;Max Rebo was the heart (or at least the fluid sac) of the band that bore his name, and could be found onstage behind the pedals of his red ball jett organ. From there he kept an ear on his bandmates' playing and an eye on the sleazy clients who hired his ensemble for their entertainment. After playing a gig for Jabba the Hutt just before the gangster was killed, Rebo survived and now entertains the patrons of Garsa’s Sanctuary in Mos Espa.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)', 'The Book of Boba Fett'], 'Affiliations': ['The Max Rebo Band'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.5m ']};
525;Mayor Mok Shaiz;The mayor of metropolitan Mos Espa, Mayor Mok Shaiz enjoys his seat of power and is wary of anyone who would challenge it.;;{'Appearances': ['The Book of Boba Fett'], 'Locations': ['Mos Espa', 'Tatooine', 'Mos Espa City Hall'], 'species': ['Ithorians']};
526;Maz Kanata;Maz Kanata is more than a thousand years old, a diminutive being with vast experience at surviving in the underworld. From her castle on Takodana, Maz has seen galactic powers rise and fall and felt the Force ebb and flow, seeking an elusive balance between darkness and light. She has given many a young smuggler a start by offering credits, equipment or connections, and helped many an old friend rediscover a lost path.;['BB-8', 'the Resistance', 'Han Solo', 'Takodana', 'Leia Organa', 'Rey’s', 'Luke Skywalker’s', 'Finn', 'castle', 'First Order’s', 'Finn', 'Leia Organa', 'the Resistance', 'the Force'];{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Star Wars: The Rise of Skywalker (Episode IX)'], 'Locations': ['Takodana'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.24m '], 'Weapons': ['Blaster Pistol']};
527;MB-13;After suffering damage in a scuffle on the Colossus, First Order droid MB-13 emerges from hiding to seek revenge on CB-23 and her friends, attacking and deactivating the small ball droid and tying up Neeku Vozo. The damage from the earlier skirmish makes it difficult for the First Order droid to get a clear view of Kaz and Torra for an effective attack, but the scrappy droid is able to bypass tower controls to try to get an encoded message to the First Order. ;;{'Appearances': ['Star Wars Resistance'], 'star wars': ['Droid']};
528;ME-8D9;An ancient protocol droid of unknown manufacture, ME-8D9 has been a fixture at Maz’s castle on Takodana for many years. Pirates and smugglers often ask Emmie to serve as a translator for their shady negotiations. The droid has been reprogrammed numerous times, and her original purpose is unclear. She’s known to have served as an assassin, and some whisper that she began her long mechanical life with the Jedi Order.;;"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Locations': [""Maz's Castle"", 'Takodana'], 'Dimensions': ['Height: 1.72m '], 'droid': ['Protocol Droid']}";
529;Mee Deechi;Mee Deechi served as the war-loving Senator from Umbara during the Clone Wars. His white hair, gaunt face, pale complexion, and black-rimmed eyes cut a striking and intimidating figure. He worked closely with the Senator from Kamino, Halle Burtoni, to increase Republic funding of clone troopers.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Coruscant', 'Umbara'], 'Gender': ['Male'], 'species': ['Umbaran']};
530;Meena Tills;The watery world of Mon Cala was the site of a civil war during the Clone Wars, as the Mon Calamari people sided with the Republic, while the Quarren were backed by the Separatist Alliance. Senator Meena Tills was caught in the midst of this conflict, advising where she could while under the protection of the Jedi and clone troopers.     Later, Senator Tills was part of the Delegation of 2,000 -- Senatorial representatives concerned with the manner in which Chancellor Palpatine had waged the Clone Wars. The Petition of 2,000 identified Senators formally complaining on Palpatine's conduct, and requested that he return his emergency powers to the Senate following the resolution of the conflict.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Galactic Senate'], 'Locations': ['Mon Cala'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.71m '], 'species': ['Mon Calamari']};
531;MEL-221;MEL-221 was more than a simple power droid. The brave counterpart of treasure hunter Phee Genoa, MEL accompanied the pirate on countless expeditions before a particularly dangerous expedition to Skara Nal ended their partnership.;;{'Appearances': ['Star Wars: The Bad Batch']};
532;Melch;Melch was one of several enslaved Ugnaughts forced to work at Reklam Station, an Imperial salvage yard. When the Ghost crew arrived, looking to steal 14 Y-wings, Melch made a deal with Hondo: he would disengage the furnace conveyer in exchange for liberation.;;{'Appearances': ['Star Wars Rebels'], 'Gender': ['Male'], 'species': ['Ugnaught']};
533;Mich Matt;Mich Matt is an Ishi Tib and gifted power technician. Once based on Coruscant, he was abducted by the Empire for a secret project, only to be rescued by the Ghost crew. He now proudly serves the Rebellion.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Rebel Alliance'], 'Gender': ['Male'], 'species': ['Ishi Tib']};
534;Mika Grey;Fearless and inventive, Mika Grey is a rugged, old treasure hunter of sorts whose aim is less about riches and more about keeping destructive and powerful artifacts out of the hands of the First Order's Supreme Leader Kylo Ren. After one particular two-and-a-half-year search, the planet-hopping archaeologist discovers an ancient Sith relic that holds untold, life-ending power at its core, but she destroys it to shake the First Order operatives on her tail. This may be why she prefers to work alone.;['the First Order', 'Ashas Ree', 'Colossus'];{'Appearances': ['Star Wars Resistance'], 'Gender': ['Female']};
535;Mina Bonteri;A Senator of the Confederacy of Independent Systems, Mina Bonteri had been a friend to Padmé Amidala, serving as her mentor on Naboo. Padmé missed her friend dearly, but contact between the Separatist and Republic governments was illegal during the Clone Wars. Nonetheless, Padmé secretly voyaged to Raxus, where she developed a peace accord with Mina. Bonteri proposed the peace overture to the Separatist government, finding support. The corporate barons secretly profiting the war did not agree, however. Mina died under mysterious circumstances, and her peace effort died as well.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Locations': ['Onderon'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.78m ']};
536;Minister Maketh Tua;"Minister Maketh Tua was a proud member of the Empire. With the rise of the Lothal rebels, Minister Tua gained the ire of Grand Moff Tarkin. Darth Vader and Agent Kallus informed her that she would meet with the Imperial leader, and Tua knew her life was in danger. She secretly contacted the Ghost team, looking for safe passage off Lothal in return for the Empire’s secrets. While they were wary, the rebels agreed and set a rendezvous point. It was not to be, however; Darth Vader knew that Tua would try and escape, and used it to his advantage. After she boarded her shuttle and the rebels neared to escort the Minister, the ship exploded. It was all a setup meant to draw out and frame the rebels. Tua was killed, a tool used for Vader’s evil machinations.";;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Lothal', 'Garel'], 'Gender': ['Female'], 'species': ['Human']};
537;Mira Bridger;"Mira Bridger lived on Lothal, a peaceful world, with her husband Ephraim and son Ezra…until the age of the Empire. Along with her husband, she would not bow to their tyranny. The Empire arrested the Bridgers, leaving Mira’s son an orphan and separating the family for years. Sadly, they would never reunite; she and Ephraim died leading a jailbreak, giving up their own lives to free their fellow prisoners.";;{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lothal'], 'Gender': ['Female'], 'species': ['Human']};
538;Mister Borkus;"A heavyset, barrel-chested Sullustan, Mister Borkus is the proprietor of a no-frills diner in Pons Ora, a small settlement on the mostly unknown world of Abafar. The opportunistic Borkus stumbled upon a clone commando suffering from amnesia. The soldier had escaped a devastating battle, and was stripped of his memory and his identity. Borkus callously took the clone -- Gregor -- under his care, never revealing his origin to the grateful survivor. Borkus ""generously"" offered to give Gregor room and board, at an expense, and also employed him as a dishwasher. But Gregor's meager wage wasn't enough to pay for his necessities, and thus the lowly dishwasher was little more than Borkus's slave.";;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Abafar'], 'Gender': ['Male'], 'species': ['Sullustan']};
539;Moff Gideon;Imperial Moff Gideon is fiercely determined to capture the Child, known as Grogu. Clever and formidable, Gideon values power and knowledge. He wields the ancient Darksaber, an artifact of great import to Mandalorians.;;{'Appearances': ['The Mandalorian']};
540;Moff Jerjerrod;A chilly technocrat, Tiaan Jerjerrod was responsible for overseeing construction of the second Death Star above the forest moon of Endor. The task was difficult, to say the least -- Jerjerrod desperately needed more time and more resources. What he got instead was a visit from Darth Vader.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Death Star', 'Death Star II'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.7m ']};
541;Mokko;"As the leader of ""Mokkotown,"" Mokko is the head of the mining facility and its crew, selling ipsium and using the profits to feed the workers and pay their wages. Cybernetic implants make him a fearsome sight, but his miners are loyal and eager to please. However, behind closed doors the exploitative Mokko enjoys a life of excess and extravagance, feasting while his workers battle over the scraps he deigns to share.";;{'Appearances': ['Star Wars: The Bad Batch']};
542;Moloch;A White Worm enforcer, Moloch ensures none of Lady Proxima’s scrumrats works against the Grindalid matriarch. He is one of the few Grindalids willing to venture out of the sewers into the damaging Corellian sunlight. These trips require Moloch to don customized protective armor.;;"{'Appearances': ['Solo: A Star Wars Story'], 'Affiliations': ['White Worms'], 'Locations': ['Corellia', ""White Worms' den""], 'Gender': ['Male'], 'Dimensions': ['Height: 2.0m '], 'Creature': ['Corellian hounds'], 'species': ['Grindalid'], 'Vehicles': ['truckspeeder'], 'Weapons': ['snubble pistol', ""Moloch's staff""]}";
543;Momaw Nadon;An exile from Ithor, Momaw Nadon was a rebel sympathizer who cultivated a hidden garden in the mountains south of Mos Eisley. Nadon was in the Mos Eisley Cantina when Luke Skywalker and Obi-Wan Kenobi arrived in search of a pilot who could take them to Alderaan without attracting Imperial attention.;;{'Appearances': ['Star Wars: A New Hope (Episode IV)'], 'Locations': ['Mos Eisley Cantina', 'Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.95m '], 'species': ['Ithorians']};
544;Mon Mothma;Working in secret as one of the founders of the Rebel Alliance, Senator Mon Mothma of Chandrila carefully navigates the dangerous shadows of Coruscant politics in her efforts to build a viable rebellion. Once a leader of the Galactic Senate's Loyalist faction, Mon Mothma opposed Supreme Chancellor Palpatine's policies during the final days of the Republic. After the rise of the Empire, Mothma continues to serve her constituents on Coruscant while working on her ultimate goal: the Alliance to Restore the Republic. ;['Galactic Republic', 'Senate', 'Palpatine', 'Alderaan', 'Bail Organa', 'Rodia', 'Onaconda Farr', 'Naboo', 'Padmé Amidala', 'Separatists', 'Alliance', 'Empire', 'Palpatine', 'Ghost', 'Rebel Alliance', 'Rebel Alliance', 'Yavin 4', 'Empire', 'Jyn Erso', 'Galen Erso', 'Saw Gerrera', 'Scarif', 'Death Star', 'Princess Leia Organa', 'Death Star'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: Revenge of the Sith (Episode III)', 'Rogue One: A Star Wars Story', 'Andor', 'Star Wars: The Clone Wars', 'Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'Galactic Republic', 'Galactic Senate'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.5m '], 'species': ['Human']};
545;Morad Sumar;Morad Sumar was a farmer from Kothar, Lothal, who would often sell his produce in the local marketplace. The Empire, continually expanding its presence on Lothal, pressured Morad to sell his land. He refused, and in retaliation, Imperials destroyed Morad's homestead and arrested his family. When all hope seemed lost, Ezra Bridger and Zeb Orrelios came to the rescue...with the help of a stolen TIE fighter.;[];{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lothal', 'Lothal Imperial Factory'], 'Gender': ['Male']};
546;Morai;A convor with a mysterious connection to the Daughter, an ancient god of Mortis, Morai has long followed and watched over Ahsoka Tano. In the world between worlds -- a mystical plain inside the Lothal Jedi Temple -- Morai encouraged the Padawan Ezra Bridger to save Ahsoka.;;{'Appearances': ['Star Wars Rebels'], 'Creature': ['Convor']};
547;Moralo Eval;"Conniving even for Phindian standards, Moralo Eval earned a loathsome reputation as a heartless murderer at a young age. As a boy, he killed his mother, telling authorities he did it because he was ""bored."" A lifetime spent as a criminal and a fugitive gave Eval a sharp survival instinct, and he had impressive technical and engineering skills. Life on the run may have also left him deranged; Moralo's odd mannerisms included talking about himself in the third person. During the Clone Wars, reports surfaced that Moralo was working with Count Dooku, possibly plotting to kidnap Chancellor Palpatine.";;{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m '], 'species': ['Phindian'], 'Weapons': ['Blaster Pistol'], 'Tool': ['The Box']};
548;Morley;Morley believed in self-preservation. As a serpentine Anacondan eking out a life on the junk planet of Lotho Minor, Morley needed cunning to survive. He would do anything to survive, including cutting a deal with a devilish outcast. When Savage Opress arrived on Lotho Minor, Morley served as his slithering guide through the numerous dangers of the garbage planet, leading the dark warrior to his long-lost brother.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Lotho Minor'], 'Gender': ['Male'], 'Dimensions': ['Length: 4.7m '], 'species': ['Anacondan']};
549;Moroff;Moroff seeks out combat zones in the galaxy to sell his brawn and firepower to anyone who might need it. Not interested in the details of the Empire versus rebels conflict, the mighty Gigoran mercenary figures there’s money to be made for a towering heavy gunner of great strength.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Gender': ['Male']};
550;Mother Talzin;Mother Talzin, the spiritual guide of Dathomir's Nightsisters during the Clone Wars, held enormous power on her homeworld and wielded the strange magicks of the Nightsisters. She sold the services of the Nightsisters to the galaxy's wealthy and powerful, but wasn't above backstabbing any clients who treated her clan with disrespect. She sought revenge against Count Dooku and his master, Darth Sidious. Dooku had betrayed the Nightsister Asajj Ventress, but his crimes paled in comparison with Sidious’s. Long before the Clone Wars, Sidious had promised to make Talzin his right hand, only to renege on his promise and steal her son, Darth Maul, to train as his apprentice.;['Dathomir', 'Nightsisters', 'Darth Sidious', 'Count Dooku', 'Nightbrother', 'Savage Opress', 'Asajj Ventress', 'Darth Maul'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Nightsisters'], 'Locations': ['Dathomir'], 'Gender': ['Female'], 'Dimensions': ['Height: 2.23m '], 'species': ['Dathomirian'], 'Weapons': ['Nightsister Crystal Ball']};
551;Mubo;A sixth-generation droid builder and technological genius, Droid Depot owner Mubo loves tinkering at his bench, and talking to anyone that will listen. To keep his business booming, he relies on a handful of ships to keep parts moving steadily into Batuu.;;{'Locations': ['Batuu', 'Black Spire Outpost']};
552;Muchi;Standing at roughly 1.82 meters, Muchi is small for a rancor because she's in the adolescent stage of development. Still, after some help escaping from a Zygerrian cage, she's a formidable opponent for the slave traders -- and their loyal winged brezaks -- who tried to hold her captive. The only thing that can stop her from rampaging in the rubble of Old Ord Mantell City is a challenge from an equally strong opponent, leaving her exhausted and docile.;;{'Appearances': ['Star Wars: The Bad Batch'], 'star wars': ['Creature']};
